"task_name","description","video_url","video_title","order","id","created_date","updated_date","created_by_id","created_by","is_sample"
"Getting Started","","https://drive.google.com/file/d/1bDQguxQfIHxPCYlTGusVX62R_aLEghDB/view?usp=drive_link","Terms & Conditions","0","6a3a84cdde6bec0db3c72655","2026-06-23T13:06:21.958000","2026-06-23T13:06:21.958000","6a3a4ac5ccd471ad4fe14549","amansinghworkden@gmail.com","false"
"Getting Started","","https://drive.google.com/file/d/1ks4OHDdvtC0ZR-v49EX-CP5HHr5NMPmS/view?usp=drive_link","Guidelines","0","6a3a84cdde6bec0db3c72656","2026-06-23T13:06:21.958000","2026-06-23T13:06:21.958000","6a3a4ac5ccd471ad4fe14549","amansinghworkden@gmail.com","false"
"General Training","","https://drive.google.com/file/d/1FZmLipgZBknLNjXsjsFx8ZLD66s4Xi7P/view?usp=drive_link","PDF to Word Typing","0","6a3a84cdde6bec0db3c72657","2026-06-23T13:06:21.958000","2026-06-23T13:06:21.958000","6a3a4ac5ccd471ad4fe14549","amansinghworkden@gmail.com","false"
"General Training","","https://drive.google.com/file/d/1aKEk9-CYnw3bjiCzt-JSHxRtTRADZoul/view?usp=drive_link","Grammar Correction","0","6a3a84cdde6bec0db3c72658","2026-06-23T13:06:21.958000","2026-06-23T13:06:21.958000","6a3a4ac5ccd471ad4fe14549","amansinghworkden@gmail.com","false"
"General Training","","https://drive.google.com/file/d/1UDOTngEbN4VpYNjWaMNQE_r2fhor7v3y/view?usp=drive_link","Form Filling","0","6a3a84cdde6bec0db3c72659","2026-06-23T13:06:21.958000","2026-06-23T13:06:21.958000","6a3a4ac5ccd471ad4fe14549","amansinghworkden@gmail.com","false"
"General Training","","https://drive.google.com/file/d/1ME9ER_ZBMrm3XmGgLiTrOJ3JDpxKCRvR/view?usp=drive_link","Data Entry","0","6a3a84cdde6bec0db3c7265a","2026-06-23T13:06:21.958000","2026-06-23T13:06:21.958000","6a3a4ac5ccd471ad4fe14549","amansinghworkden@gmail.com","false"
"Getting Started","","https://drive.google.com/file/d/1bDQguxQfIHxPCYlTGusVX62R_aLEghDB/view?usp=drive_link","Terms & Conditions","0","6a3a829d1cd778ceff7c8a96","2026-06-23T12:57:01.717000","2026-06-23T12:57:01.717000","6a3a4ac5ccd471ad4fe14549","amansinghworkden@gmail.com","false"
"Getting Started","","https://drive.google.com/file/d/1ks4OHDdvtC0ZR-v49EX-CP5HHr5NMPmS/view?usp=drive_link","Guidelines","0","6a3a829d1cd778ceff7c8a97","2026-06-23T12:57:01.717000","2026-06-23T12:57:01.717000","6a3a4ac5ccd471ad4fe14549","amansinghworkden@gmail.com","false"
"General Training","","https://drive.google.com/file/d/1FZmLipgZBknLNjXsjsFx8ZLD66s4Xi7P/view?usp=drive_link","PDF to Word Typing","0","6a3a829d1cd778ceff7c8a98","2026-06-23T12:57:01.717000","2026-06-23T12:57:01.717000","6a3a4ac5ccd471ad4fe14549","amansinghworkden@gmail.com","false"
"General Training","","https://drive.google.com/file/d/1aKEk9-CYnw3bjiCzt-JSHxRtTRADZoul/view?usp=drive_link","Grammar Correction","0","6a3a829d1cd778ceff7c8a99","2026-06-23T12:57:01.717000","2026-06-23T12:57:01.717000","6a3a4ac5ccd471ad4fe14549","amansinghworkden@gmail.com","false"
"General Training","","https://drive.google.com/file/d/1UDOTngEbN4VpYNjWaMNQE_r2fhor7v3y/view?usp=drive_link","Form Filling","0","6a3a829d1cd778ceff7c8a9a","2026-06-23T12:57:01.717000","2026-06-23T12:57:01.717000","6a3a4ac5ccd471ad4fe14549","amansinghworkden@gmail.com","false"
"General Training","","https://drive.google.com/file/d/1ME9ER_ZBMrm3XmGgLiTrOJ3JDpxKCRvR/view?usp=drive_link","Data Entry","0","6a3a829d1cd778ceff7c8a9b","2026-06-23T12:57:01.717000","2026-06-23T12:57:01.717000","6a3a4ac5ccd471ad4fe14549","amansinghworkden@gmail.com","false"
